[19:49:21] Log file is created
[19:49:21] graph_inputs/05/graph05.csv Graph is imported.
[19:49:21] Physical network is created.
[19:49:34] New release. Bandwidth = 9,source = 2, Dst = 10, id = 11, Release = 0
[19:50:17] New release. Bandwidth = 4,source = 7, Dst = 11, id = 125, Release = 0
[19:50:17] New release. Bandwidth = 1,source = 2, Dst = 7, id = 144, Release = 0
[19:50:18] New release. Bandwidth = 3,source = 1, Dst = 2, id = 185, Release = 0
[19:50:18] New release. Bandwidth = 7,source = 12, Dst = 5, id = 67, Release = 0
[19:50:18] New release. Bandwidth = 6,source = 2, Dst = 1, id = 84, Release = 0
[19:50:19] New release. Bandwidth = 8,source = 9, Dst = 0, id = 54, Release = 0
[19:50:19] New release. Bandwidth = 2,source = 2, Dst = 4, id = 118, Release = 0
[19:50:19] New release. Bandwidth = 4,source = 4, Dst = 8, id = 126, Release = 0
[19:50:21] New release. Bandwidth = 1,source = 1, Dst = 11, id = 32, Release = 0
[19:50:21] New release. Bandwidth = 1,source = 6, Dst = 1, id = 174, Release = 0
[19:50:21] New release. Bandwidth = 4,source = 12, Dst = 8, id = 183, Release = 0
[19:50:22] New release. Bandwidth = 8,source = 10, Dst = 5, id = 50, Release = 0
[19:50:22] New release. Bandwidth = 6,source = 3, Dst = 2, id = 5, Release = 0
[19:50:22] New release. Bandwidth = 8,source = 2, Dst = 6, id = 79, Release = 0
[19:50:23] New release. Bandwidth = 2,source = 5, Dst = 10, id = 133, Release = 0
[19:50:23] New release. Bandwidth = 2,source = 7, Dst = 6, id = 19, Release = 0
[19:50:24] New release. Bandwidth = 4,source = 5, Dst = 2, id = 224, Release = 0
[19:50:24] New release. Bandwidth = 2,source = 11, Dst = 5, id = 41, Release = 0
[19:50:24] New release. Bandwidth = 3,source = 0, Dst = 4, id = 195, Release = 0
[19:50:24] New release. Bandwidth = 6,source = 11, Dst = 12, id = 221, Release = 0
[19:50:25] New release. Bandwidth = 2,source = 1, Dst = 0, id = 227, Release = 0
[19:50:25] New release. Bandwidth = 4,source = 13, Dst = 7, id = 145, Release = 0
[19:50:26] New release. Bandwidth = 3,source = 11, Dst = 9, id = 31, Release = 0
[19:50:27] New release. Bandwidth = 8,source = 4, Dst = 8, id = 0, Release = 0
[19:50:28] New release. Bandwidth = 7,source = 13, Dst = 6, id = 188, Release = 0
[19:50:31] New release. Bandwidth = 4,source = 1, Dst = 13, id = 192, Release = 0
[19:50:31] New release. Bandwidth = 10,source = 13, Dst = 0, id = 24, Release = 0
[19:50:32] New release. Bandwidth = 1,source = 2, Dst = 7, id = 177, Release = 0
[19:50:32] New release. Bandwidth = 7,source = 6, Dst = 8, id = 106, Release = 0
[19:50:32] New release. Bandwidth = 2,source = 2, Dst = 7, id = 200, Release = 0
[19:50:33] New release. Bandwidth = 5,source = 11, Dst = 12, id = 40, Release = 0
[19:50:33] New release. Bandwidth = 3,source = 13, Dst = 11, id = 110, Release = 0
[19:50:33] New release. Bandwidth = 1,source = 6, Dst = 0, id = 190, Release = 0
[19:50:34] New release. Bandwidth = 1,source = 0, Dst = 5, id = 196, Release = 0
[19:50:34] New release. Bandwidth = 2,source = 11, Dst = 0, id = 212, Release = 0
[19:50:34] New release. Bandwidth = 9,source = 5, Dst = 13, id = 28, Release = 0
[19:50:34] New release. Bandwidth = 9,source = 0, Dst = 8, id = 23, Release = 0
[19:50:35] New release. Bandwidth = 4,source = 10, Dst = 4, id = 250, Release = 0
[19:50:35] New release. Bandwidth = 3,source = 4, Dst = 11, id = 216, Release = 0
[19:50:35] New release. Bandwidth = 3,source = 4, Dst = 1, id = 199, Release = 0
[19:50:35] New release. Bandwidth = 3,source = 12, Dst = 8, id = 256, Release = 0
[19:50:36] New release. Bandwidth = 7,source = 4, Dst = 10, id = 182, Release = 0
[19:50:36] New release. Bandwidth = 1,source = 1, Dst = 3, id = 230, Release = 0
[19:50:39] New release. Bandwidth = 2,source = 1, Dst = 0, id = 175, Release = 0
[19:50:39] New release. Bandwidth = 5,source = 13, Dst = 10, id = 282, Release = 0
[19:50:39] New release. Bandwidth = 4,source = 6, Dst = 10, id = 255, Release = 0
[19:50:40] New release. Bandwidth = 10,source = 3, Dst = 8, id = 14, Release = 0
[19:50:40] New release. Bandwidth = 6,source = 7, Dst = 1, id = 280, Release = 0
[19:50:40] New release. Bandwidth = 1,source = 7, Dst = 8, id = 207, Release = 0
[19:50:41] New release. Bandwidth = 10,source = 11, Dst = 7, id = 7, Release = 0
[19:50:41] New release. Bandwidth = 1,source = 11, Dst = 0, id = 42, Release = 0
[19:50:41] New release. Bandwidth = 6,source = 13, Dst = 12, id = 45, Release = 0
[19:50:42] New release. Bandwidth = 3,source = 1, Dst = 11, id = 55, Release = 0
[19:50:42] New release. Bandwidth = 2,source = 5, Dst = 9, id = 233, Release = 0
[19:50:42] New release. Bandwidth = 5,source = 2, Dst = 11, id = 34, Release = 0
[19:50:43] New release. Bandwidth = 5,source = 10, Dst = 0, id = 201, Release = 0
[19:50:43] New release. Bandwidth = 6,source = 5, Dst = 13, id = 239, Release = 0
[19:50:43] New release. Bandwidth = 3,source = 4, Dst = 9, id = 245, Release = 0
[19:50:43] New release. Bandwidth = 4,source = 2, Dst = 10, id = 206, Release = 0
[19:50:43] New release. Bandwidth = 1,source = 2, Dst = 5, id = 261, Release = 0
[19:50:44] New release. Bandwidth = 6,source = 1, Dst = 6, id = 103, Release = 0
[19:50:44] New release. Bandwidth = 6,source = 10, Dst = 7, id = 298, Release = 0
[19:50:44] New release. Bandwidth = 1,source = 12, Dst = 6, id = 102, Release = 0
[19:50:45] New release. Bandwidth = 9,source = 6, Dst = 0, id = 44, Release = 0
[19:50:46] New release. Bandwidth = 2,source = 6, Dst = 10, id = 58, Release = 0
[19:50:46] New release. Bandwidth = 3,source = 2, Dst = 10, id = 231, Release = 0
[19:50:46] New release. Bandwidth = 6,source = 7, Dst = 13, id = 88, Release = 0
[19:50:47] New release. Bandwidth = 5,source = 8, Dst = 9, id = 320, Release = 0
[19:50:47] New release. Bandwidth = 5,source = 1, Dst = 8, id = 344, Release = 0
[19:50:47] New release. Bandwidth = 5,source = 10, Dst = 6, id = 208, Release = 0
[19:50:48] New release. Bandwidth = 4,source = 0, Dst = 5, id = 309, Release = 0
[19:50:48] New release. Bandwidth = 1,source = 11, Dst = 12, id = 78, Release = 0
[19:50:48] New release. Bandwidth = 2,source = 7, Dst = 2, id = 317, Release = 0
[19:50:48] New release. Bandwidth = 4,source = 9, Dst = 13, id = 52, Release = 0
[19:50:48] New release. Bandwidth = 2,source = 13, Dst = 12, id = 148, Release = 0
[19:50:48] New release. Bandwidth = 2,source = 10, Dst = 3, id = 326, Release = 0
[19:50:49] New release. Bandwidth = 1,source = 11, Dst = 7, id = 373, Release = 0
[19:50:49] New release. Bandwidth = 4,source = 1, Dst = 2, id = 238, Release = 0
[19:50:49] New release. Bandwidth = 4,source = 1, Dst = 4, id = 82, Release = 0
[19:50:50] New release. Bandwidth = 2,source = 5, Dst = 4, id = 128, Release = 0
[19:50:50] New release. Bandwidth = 1,source = 0, Dst = 1, id = 319, Release = 0
[19:50:50] New release. Bandwidth = 5,source = 7, Dst = 2, id = 142, Release = 0
[19:50:50] New release. Bandwidth = 2,source = 6, Dst = 10, id = 155, Release = 0
[19:50:53] New release. Bandwidth = 3,source = 1, Dst = 0, id = 315, Release = 0
[19:50:53] New release. Bandwidth = 6,source = 13, Dst = 10, id = 91, Release = 0
[19:50:53] New release. Bandwidth = 2,source = 6, Dst = 12, id = 332, Release = 0
[19:50:53] New release. Bandwidth = 4,source = 1, Dst = 6, id = 361, Release = 0
[19:50:53] New release. Bandwidth = 2,source = 4, Dst = 5, id = 186, Release = 0
[19:50:53] New release. Bandwidth = 3,source = 10, Dst = 2, id = 35, Release = 0
[19:50:53] New release. Bandwidth = 2,source = 9, Dst = 0, id = 65, Release = 0
[19:50:53] New release. Bandwidth = 1,source = 4, Dst = 5, id = 225, Release = 0
[19:50:53] New release. Bandwidth = 1,source = 0, Dst = 11, id = 365, Release = 0
[19:50:53] New release. Bandwidth = 1,source = 13, Dst = 6, id = 246, Release = 0
[19:50:54] New release. Bandwidth = 5,source = 13, Dst = 11, id = 243, Release = 0
[19:50:54] New release. Bandwidth = 5,source = 5, Dst = 10, id = 286, Release = 0
[19:50:55] New release. Bandwidth = 6,source = 5, Dst = 0, id = 393, Release = 0
[19:50:55] New release. Bandwidth = 1,source = 13, Dst = 11, id = 272, Release = 0
[19:50:55] New release. Bandwidth = 3,source = 1, Dst = 2, id = 219, Release = 0
[19:50:56] New release. Bandwidth = 6,source = 3, Dst = 9, id = 49, Release = 0
[19:50:56] New release. Bandwidth = 6,source = 3, Dst = 10, id = 343, Release = 0
[19:50:56] New release. Bandwidth = 2,source = 9, Dst = 0, id = 345, Release = 0
[19:50:56] New release. Bandwidth = 2,source = 10, Dst = 7, id = 96, Release = 0
[19:50:56] New release. Bandwidth = 4,source = 3, Dst = 0, id = 147, Release = 0
[19:50:56] New release. Bandwidth = 9,source = 1, Dst = 2, id = 172, Release = 0
[19:50:56] New release. Bandwidth = 4,source = 5, Dst = 0, id = 121, Release = 0
[19:50:57] New release. Bandwidth = 4,source = 10, Dst = 1, id = 276, Release = 0
[19:50:57] New release. Bandwidth = 4,source = 11, Dst = 5, id = 169, Release = 0
[19:50:57] New release. Bandwidth = 7,source = 3, Dst = 5, id = 63, Release = 0
[19:50:58] New release. Bandwidth = 5,source = 6, Dst = 13, id = 220, Release = 0
[19:50:58] New release. Bandwidth = 2,source = 10, Dst = 12, id = 108, Release = 0
[19:50:59] New release. Bandwidth = 9,source = 11, Dst = 4, id = 27, Release = 0
[19:50:59] New release. Bandwidth = 6,source = 6, Dst = 3, id = 289, Release = 0
[19:50:59] New release. Bandwidth = 5,source = 11, Dst = 13, id = 334, Release = 0
[19:51:00] New release. Bandwidth = 2,source = 13, Dst = 2, id = 149, Release = 0
[19:51:00] New release. Bandwidth = 4,source = 5, Dst = 7, id = 259, Release = 0
[19:51:00] New release. Bandwidth = 7,source = 8, Dst = 2, id = 353, Release = 0
[19:51:00] New release. Bandwidth = 2,source = 8, Dst = 2, id = 348, Release = 0
[19:51:00] New release. Bandwidth = 6,source = 11, Dst = 6, id = 252, Release = 0
[19:51:01] New release. Bandwidth = 6,source = 2, Dst = 4, id = 382, Release = 0
[19:51:01] New release. Bandwidth = 5,source = 13, Dst = 5, id = 281, Release = 0
[19:51:02] New release. Bandwidth = 2,source = 4, Dst = 7, id = 101, Release = 0
[19:51:02] New release. Bandwidth = 3,source = 0, Dst = 10, id = 217, Release = 0
[19:51:02] New release. Bandwidth = 2,source = 1, Dst = 8, id = 456, Release = 0
[19:51:02] New release. Bandwidth = 1,source = 5, Dst = 6, id = 322, Release = 0
[19:51:02] New release. Bandwidth = 6,source = 12, Dst = 4, id = 90, Release = 0
[19:51:02] New release. Bandwidth = 1,source = 4, Dst = 5, id = 157, Release = 0
[19:51:03] New release. Bandwidth = 3,source = 2, Dst = 9, id = 267, Release = 0
[19:51:03] New release. Bandwidth = 3,source = 3, Dst = 12, id = 437, Release = 0
[19:51:03] New release. Bandwidth = 3,source = 1, Dst = 6, id = 29, Release = 0
[19:51:03] New release. Bandwidth = 4,source = 1, Dst = 12, id = 80, Release = 0
[19:51:03] New release. Bandwidth = 3,source = 10, Dst = 13, id = 401, Release = 0
[19:51:03] New release. Bandwidth = 2,source = 6, Dst = 11, id = 258, Release = 0
[19:51:03] New release. Bandwidth = 4,source = 12, Dst = 3, id = 109, Release = 0
[19:51:03] New release. Bandwidth = 1,source = 2, Dst = 3, id = 416, Release = 0
[19:51:03] New release. Bandwidth = 6,source = 7, Dst = 10, id = 244, Release = 0
[19:51:05] New release. Bandwidth = 3,source = 6, Dst = 2, id = 432, Release = 0
[19:51:05] New release. Bandwidth = 3,source = 11, Dst = 7, id = 247, Release = 0
[19:51:05] New release. Bandwidth = 4,source = 0, Dst = 5, id = 453, Release = 0
[19:51:05] New release. Bandwidth = 10,source = 3, Dst = 1, id = 265, Release = 0
[19:51:06] New release. Bandwidth = 1,source = 1, Dst = 9, id = 471, Release = 0
[19:51:06] New release. Bandwidth = 5,source = 2, Dst = 12, id = 414, Release = 0
[19:51:06] New release. Bandwidth = 7,source = 1, Dst = 4, id = 449, Release = 0
[19:51:07] New release. Bandwidth = 3,source = 13, Dst = 1, id = 431, Release = 0
[19:51:07] New release. Bandwidth = 10,source = 12, Dst = 7, id = 18, Release = 0
[19:51:07] New release. Bandwidth = 2,source = 11, Dst = 12, id = 1, Release = 0
[19:51:07] New release. Bandwidth = 2,source = 11, Dst = 2, id = 481, Release = 0
[19:51:07] New release. Bandwidth = 1,source = 10, Dst = 11, id = 462, Release = 0
[19:51:07] New release. Bandwidth = 2,source = 13, Dst = 6, id = 61, Release = 0
[19:51:08] New release. Bandwidth = 3,source = 13, Dst = 0, id = 71, Release = 0
[19:51:08] New release. Bandwidth = 2,source = 3, Dst = 7, id = 406, Release = 0
[19:51:08] New release. Bandwidth = 7,source = 13, Dst = 9, id = 478, Release = 0
[19:51:08] New release. Bandwidth = 2,source = 7, Dst = 2, id = 377, Release = 0
[19:51:08] New release. Bandwidth = 3,source = 6, Dst = 2, id = 435, Release = 0
[19:51:08] New release. Bandwidth = 3,source = 1, Dst = 4, id = 328, Release = 0
[19:51:08] New release. Bandwidth = 3,source = 0, Dst = 3, id = 257, Release = 0
[19:51:09] New release. Bandwidth = 2,source = 11, Dst = 0, id = 198, Release = 0
[19:51:09] New release. Bandwidth = 3,source = 11, Dst = 2, id = 467, Release = 0
[19:51:09] New release. Bandwidth = 1,source = 0, Dst = 5, id = 454, Release = 0
[19:51:09] New release. Bandwidth = 2,source = 11, Dst = 4, id = 366, Release = 0
[19:51:09] New release. Bandwidth = 7,source = 11, Dst = 9, id = 389, Release = 0
[19:51:09] New release. Bandwidth = 3,source = 0, Dst = 10, id = 347, Release = 0
[19:51:09] New release. Bandwidth = 3,source = 12, Dst = 0, id = 457, Release = 0
[19:51:10] New release. Bandwidth = 5,source = 7, Dst = 6, id = 399, Release = 0
[19:51:11] New release. Bandwidth = 4,source = 11, Dst = 10, id = 422, Release = 0
[19:51:11] New release. Bandwidth = 1,source = 8, Dst = 13, id = 396, Release = 0
[19:51:11] New release. Bandwidth = 2,source = 7, Dst = 11, id = 500, Release = 0
[19:51:11] New release. Bandwidth = 4,source = 2, Dst = 4, id = 505, Release = 0
[19:51:11] New release. Bandwidth = 5,source = 4, Dst = 11, id = 485, Release = 0
[19:51:12] New release. Bandwidth = 3,source = 0, Dst = 10, id = 318, Release = 0
[19:51:12] New release. Bandwidth = 5,source = 3, Dst = 11, id = 425, Release = 0
[19:51:12] New release. Bandwidth = 2,source = 0, Dst = 2, id = 469, Release = 0
[19:51:12] New release. Bandwidth = 2,source = 10, Dst = 1, id = 402, Release = 0
[19:51:13] New release. Bandwidth = 1,source = 3, Dst = 8, id = 534, Release = 0
[19:51:13] New release. Bandwidth = 1,source = 1, Dst = 9, id = 384, Release = 0
[19:51:13] New release. Bandwidth = 5,source = 9, Dst = 11, id = 12, Release = 0
[19:51:13] New release. Bandwidth = 1,source = 12, Dst = 3, id = 214, Release = 0
[19:51:13] New release. Bandwidth = 2,source = 11, Dst = 9, id = 331, Release = 0
[19:51:13] New release. Bandwidth = 3,source = 7, Dst = 3, id = 300, Release = 0
[19:51:13] New release. Bandwidth = 1,source = 5, Dst = 8, id = 472, Release = 0
[19:51:13] New release. Bandwidth = 4,source = 13, Dst = 4, id = 327, Release = 0
[19:51:13] New release. Bandwidth = 4,source = 13, Dst = 6, id = 97, Release = 0
[19:51:14] New release. Bandwidth = 5,source = 2, Dst = 7, id = 314, Release = 0
[19:51:14] New release. Bandwidth = 3,source = 2, Dst = 4, id = 249, Release = 0
[19:51:14] New release. Bandwidth = 3,source = 10, Dst = 11, id = 368, Release = 0
[19:51:15] New release. Bandwidth = 4,source = 2, Dst = 0, id = 473, Release = 0
[19:51:16] New release. Bandwidth = 6,source = 12, Dst = 10, id = 548, Release = 0
[19:51:16] New release. Bandwidth = 1,source = 7, Dst = 1, id = 502, Release = 0
[19:51:16] New release. Bandwidth = 1,source = 1, Dst = 4, id = 291, Release = 0
[19:51:16] New release. Bandwidth = 1,source = 4, Dst = 2, id = 292, Release = 0
[19:51:16] New release. Bandwidth = 3,source = 7, Dst = 11, id = 418, Release = 0
[19:51:16] New release. Bandwidth = 2,source = 4, Dst = 5, id = 529, Release = 0
[19:51:16] New release. Bandwidth = 5,source = 11, Dst = 10, id = 520, Release = 0
[19:51:16] New release. Bandwidth = 2,source = 1, Dst = 11, id = 370, Release = 0
[19:51:16] New release. Bandwidth = 4,source = 3, Dst = 7, id = 530, Release = 0
[19:51:17] New release. Bandwidth = 6,source = 7, Dst = 13, id = 517, Release = 0
[19:51:17] New release. Bandwidth = 7,source = 10, Dst = 1, id = 504, Release = 0
[19:51:17] New release. Bandwidth = 10,source = 13, Dst = 1, id = 64, Release = 0
[19:51:18] New release. Bandwidth = 4,source = 13, Dst = 7, id = 413, Release = 0
[19:51:19] New release. Bandwidth = 1,source = 7, Dst = 9, id = 508, Release = 0
[19:51:19] New release. Bandwidth = 4,source = 13, Dst = 8, id = 93, Release = 0
[19:51:19] New release. Bandwidth = 1,source = 13, Dst = 5, id = 152, Release = 0
[19:51:19] New release. Bandwidth = 2,source = 8, Dst = 12, id = 474, Release = 0
[19:51:19] New release. Bandwidth = 6,source = 5, Dst = 12, id = 452, Release = 0
[19:51:20] New release. Bandwidth = 5,source = 1, Dst = 12, id = 575, Release = 0
[19:51:20] New release. Bandwidth = 4,source = 12, Dst = 8, id = 514, Release = 0
[19:51:21] New release. Bandwidth = 2,source = 13, Dst = 6, id = 545, Release = 0
[19:51:21] New release. Bandwidth = 5,source = 3, Dst = 6, id = 559, Release = 0
[19:51:21] New release. Bandwidth = 5,source = 3, Dst = 8, id = 465, Release = 0
[19:51:21] New release. Bandwidth = 2,source = 8, Dst = 7, id = 544, Release = 0
[19:51:22] New release. Bandwidth = 6,source = 11, Dst = 7, id = 579, Release = 0
[19:51:22] New release. Bandwidth = 5,source = 10, Dst = 4, id = 451, Release = 0
[19:51:23] New release. Bandwidth = 4,source = 5, Dst = 4, id = 433, Release = 0
[19:51:24] New release. Bandwidth = 8,source = 10, Dst = 13, id = 483, Release = 0
[19:51:24] New release. Bandwidth = 2,source = 13, Dst = 7, id = 537, Release = 0
[19:51:24] New release. Bandwidth = 1,source = 2, Dst = 12, id = 494, Release = 0
[19:51:24] New release. Bandwidth = 2,source = 5, Dst = 3, id = 511, Release = 0
[19:51:24] New release. Bandwidth = 2,source = 13, Dst = 7, id = 194, Release = 0
[19:51:25] New release. Bandwidth = 5,source = 8, Dst = 7, id = 605, Release = 0
[19:51:26] New release. Bandwidth = 5,source = 10, Dst = 4, id = 594, Release = 0
[19:51:26] New release. Bandwidth = 4,source = 10, Dst = 3, id = 611, Release = 0
[19:51:27] New release. Bandwidth = 1,source = 10, Dst = 7, id = 482, Release = 0
[19:51:27] New release. Bandwidth = 2,source = 12, Dst = 5, id = 380, Release = 0
[19:51:27] New release. Bandwidth = 4,source = 12, Dst = 4, id = 609, Release = 0
[19:51:27] New release. Bandwidth = 4,source = 4, Dst = 13, id = 613, Release = 0
[19:51:28] New release. Bandwidth = 2,source = 13, Dst = 3, id = 547, Release = 0
[19:51:28] New release. Bandwidth = 4,source = 6, Dst = 1, id = 415, Release = 0
[19:51:29] New release. Bandwidth = 1,source = 12, Dst = 4, id = 390, Release = 0
[19:51:29] New release. Bandwidth = 6,source = 9, Dst = 7, id = 630, Release = 0
[19:51:29] New release. Bandwidth = 2,source = 0, Dst = 6, id = 571, Release = 0
[19:51:29] New release. Bandwidth = 2,source = 12, Dst = 7, id = 643, Release = 0
[19:51:30] New release. Bandwidth = 7,source = 0, Dst = 4, id = 429, Release = 0
[19:51:30] New release. Bandwidth = 1,source = 2, Dst = 13, id = 333, Release = 0
[19:51:30] New release. Bandwidth = 2,source = 3, Dst = 13, id = 532, Release = 0
[19:51:31] New release. Bandwidth = 2,source = 5, Dst = 1, id = 640, Release = 0
[19:51:31] New release. Bandwidth = 4,source = 13, Dst = 5, id = 308, Release = 0
[19:51:31] New release. Bandwidth = 5,source = 13, Dst = 10, id = 179, Release = 0
[19:51:31] New release. Bandwidth = 1,source = 0, Dst = 5, id = 546, Release = 0
[19:51:31] New release. Bandwidth = 6,source = 2, Dst = 13, id = 624, Release = 0
[19:51:31] New release. Bandwidth = 3,source = 7, Dst = 0, id = 607, Release = 0
[19:51:31] New release. Bandwidth = 4,source = 2, Dst = 1, id = 637, Release = 0
[19:51:32] New release. Bandwidth = 2,source = 2, Dst = 9, id = 486, Release = 0
[19:51:32] New release. Bandwidth = 3,source = 10, Dst = 13, id = 74, Release = 0
[19:51:33] New release. Bandwidth = 8,source = 9, Dst = 7, id = 497, Release = 0
[19:51:33] New release. Bandwidth = 1,source = 1, Dst = 0, id = 229, Release = 0
[19:51:33] New release. Bandwidth = 3,source = 13, Dst = 9, id = 603, Release = 0
[19:51:33] New release. Bandwidth = 4,source = 0, Dst = 5, id = 652, Release = 0
[19:51:33] New release. Bandwidth = 3,source = 9, Dst = 3, id = 492, Release = 0
[19:51:34] New release. Bandwidth = 3,source = 8, Dst = 1, id = 622, Release = 0
[19:51:34] New release. Bandwidth = 2,source = 13, Dst = 5, id = 663, Release = 0
[19:51:34] New release. Bandwidth = 1,source = 0, Dst = 10, id = 477, Release = 0
[19:51:34] New release. Bandwidth = 5,source = 3, Dst = 2, id = 585, Release = 0
[19:51:34] New release. Bandwidth = 1,source = 10, Dst = 3, id = 442, Release = 0
[19:51:34] New release. Bandwidth = 6,source = 8, Dst = 7, id = 476, Release = 0
[19:51:34] New release. Bandwidth = 5,source = 0, Dst = 2, id = 424, Release = 0
[19:51:35] New release. Bandwidth = 1,source = 12, Dst = 4, id = 411, Release = 0
[19:51:36] New release. Bandwidth = 5,source = 4, Dst = 10, id = 583, Release = 0
[19:51:36] New release. Bandwidth = 2,source = 6, Dst = 5, id = 540, Release = 0
[19:51:36] New release. Bandwidth = 2,source = 7, Dst = 10, id = 635, Release = 0
[19:51:36] New release. Bandwidth = 4,source = 0, Dst = 6, id = 580, Release = 0
[19:51:37] New release. Bandwidth = 1,source = 5, Dst = 9, id = 242, Release = 0
[19:51:37] New release. Bandwidth = 1,source = 5, Dst = 10, id = 707, Release = 0
[19:51:37] New release. Bandwidth = 4,source = 12, Dst = 7, id = 484, Release = 0
[19:51:37] New release. Bandwidth = 4,source = 8, Dst = 3, id = 720, Release = 0
[19:51:37] New release. Bandwidth = 6,source = 4, Dst = 12, id = 461, Release = 0
[19:51:37] New release. Bandwidth = 5,source = 8, Dst = 11, id = 479, Release = 0
[19:51:38] New release. Bandwidth = 2,source = 0, Dst = 10, id = 489, Release = 0
[19:51:38] New release. Bandwidth = 3,source = 9, Dst = 12, id = 475, Release = 0
[19:51:38] New release. Bandwidth = 3,source = 7, Dst = 11, id = 715, Release = 0
[19:51:39] New release. Bandwidth = 2,source = 0, Dst = 3, id = 695, Release = 0
[19:51:39] New release. Bandwidth = 3,source = 2, Dst = 7, id = 496, Release = 0
